AuthorID,Author,pcf_gen,spl_gen
301372241176952832,azula#9750,43252,1
301672529561518081,oge#1004,32931,5
395640703704891392,DaHomieDrew#3237,24917,8069
224246014473797633,kyo#5036,22958,29
442393544376975380,Raven#5888,22479,252
456226577798135808,Deleted User#0000,15411,3719
607327540893188144,Arzaylea#9943,12880,6304
297003997322280981,red hot silly pepper#5021,8353,41
397356894127390720,Rayvenrock#2954,7529,1397
173889000015134720,faede#0003,5509,1808
640567496314716180,Andromeda#5499,5255,38
197929627728084992,Weiss#9540,3965,427
564667779181969409,kaitoo#2836,3941,1355
692342743418142801,ğ™ğ™ğ™§ğ™šğ™¬ğ™¤ğ™§ğ™ #2551,3668,3327
106634422022860800,MaralinaSakura#1304,3555,7197
423943858813140993,Jinii Minii#2336,2682,51
757599193614254141,Akuna Matata#7251,2588,4604
707303192257626164,Metta#2122,2237,8131
517501633374978079,unforgivablespelling#1737,2225,8917
406327286145744926,rashon24#4410,1862,18
301244564188954624,YukkiMons#7393,1780,74
221750480257155072,AhmedDarkSlayer#5345,1485,777
85614143951892480,UB3R-B0T#3802,1476,534
362299347729121281,Brohepsi#1599,1455,2536
310882928752328735,Belbercike#4557,1062,5365
831172293945720852,Yume Not.#8543,706,14
658082229469184020,FraternalGemini#7101,699,2494
739848819323305984,Absolute Madlad#6388,436,6
439205512425504771,NotSoBot#9555,404,93
306541680419405826,ChaosTheory#2733,400,1
786672447935348737,cressidastclaire#3536,358,20
899901520701714493,Kaleen Bhaiya#5212,332,570
742154890804985876,Priyudi#5958,175,8496
771929460261650482,Nikki_2406#0663,163,2
495167666726895616,( Ë¶áµ”à¼áµ”Ë¶) milquetoast â™¡#1999,149,965
283193899336335360,kioverity#4580,147,3066
308738655223152642,Black Scepter#7870,114,182
373187896699781120,Maxroberts99#3809,65,107
172002275412279296,Tatsu#8792,51,232
622656139389042699,Drawesome ğŸ¦ğŸ»#9263,44,5
760937074118885387,â™  Taylor Swift#6566,39,36
488049679976759305,HaedHaze#7884,32,15
261850654400708610,Bee Aggressive#7791,31,470
625369267008700456,fallen#2076,28,58
155149108183695360,Dyno#3861,21,65
366565198284324868,icy moons#5459,17,1087
707992538082181322,xanthipe#6837,17,62
492599210357555201,Winny#4584,17,56
580349344633585684,ZATheDeadMan#3934,14,46
542162907333525508,conceptualisedbygogol#8142,11,5554
517453558082306120,redhood310#3384,10,7
752560019131859046,Priyudi#8926,5,91
235088799074484224,Rythm#3722,5,2
201796440576491521,sarabee#0938,4,349
451747664472571907,baratiess#1977,4,87
703729271788535858,chirusmilex#6407,4,36
275617570852438016,itsmeansh#8436,3,694
221687883852021770,cee#5151,3,25
263855609709854721,bi-bi-bich#8008,3,7
211534205862150144,spirits#8236,2,265
434821263354232843,Sceptik#6965,2,4
364570774717071361,juju#8696,2,4
500837646805893121,natatouille#5197,1,38
617378411652055080,lion_raider#2667,1,13
873569055733329951,James Hametson#9998,1,6
363091160027103243,quicksilver#9237,1,3
806489789574545458,Hell-Volhard#4976,1,1
